Symptom,Variation,Patient Description
delusions or hallucinations,2,"“It’s like… things aren’t really happening the way they seem. I see people watching me, even when there’s no one around. And sometimes, I hear voices, just… talking. Not to me directly, but like they’re commenting on everything I do.”"
delusions or hallucinations,3,"“It’s like… things aren’t really happening the way they seem to be. I see people watching me from across the street, just… observing. And sometimes, I hear voices, not arguing, just… murmuring. Like they’re commenting on what I’m doing, but I don’t know where they’re coming from.”"
delusions or hallucinations,4,"“It’s like… things aren’t really happening the way they seem to be. I see faces in the walls, you know? Just… there. And sometimes I think people are watching me, like I’m being followed, but I can never quite put my finger on who or what it is.”"
shoulder cramps or spasms,1,"“It’s just…it comes and goes. My left shoulder, especially, will just seize up. Like a muscle cramp, but it’s in my shoulder. It’s really painful, and it seems to happen most when I’m just sitting down, or when I’ve been doing a little bit of housework.”"
shoulder cramps or spasms,2,"“It’s just… my shoulder. It feels like it’s constantly clenching up, really tight. Sometimes it’s a sharp pain, and other times it just feels like a deep, stubborn cramp. It’s been happening mostly in the evenings, after I’ve been doing a bit of gardening.”"
shoulder cramps or spasms,3,"“It’s just… this really tight feeling in my shoulder, mostly on my right side. It comes and goes, and sometimes it just kind of locks up, like a sudden jerk. It’s incredibly uncomfortable, especially when I’m reaching for things.”"
shoulder cramps or spasms,4,"“It’s just… this really sharp pain in my shoulder, like a muscle just locking up. It comes and goes, and sometimes it feels like a twitching, almost like a spasm. It’s worse when I’m doing anything with my arms, even just reaching for something.”"
joint stiffness or tightness,1,"“It’s just…it’s really hard to move in the mornings. My knees and ankles are just completely frozen up, and it takes me ages to get going. Like I’m moving through honey.”"
joint stiffness or tightness,2,"“It’s just… my hips, you know? They feel so tight, especially in the mornings. Like I haven’t moved in ages, and it takes a good fifteen minutes of stretching just to get going.”"
joint stiffness or tightness,3,"“It’s just… really hard to move some mornings. Like, my hips and knees feel like they’re stuck, you know? It’s not a sharp pain, just this awful tightness that lasts for ages before I can actually get going.”"
joint stiffness or tightness,4,"“It’s just… really hard to move in the mornings. Like, my hips and knees feel completely frozen up, and it takes me ages to get going. It eases off a bit as the day wears on, but it’s persistent, you know? It’s not painful, exactly, just this awful tightness.”"
pain or soreness of breast,1,"“It’s just… this one breast, mostly. It’s kind of a dull ache, but sometimes it feels a little sore, especially if I bump it or something. It’s not constant, but it’s there.”"
pain or soreness of breast,2,"“It’s just…this weird ache in my left breast, really. Like a constant soreness, not sharp, just a dull throb. It comes and goes, and sometimes it’s more noticeable than others.”"
pain or soreness of breast,3,"“It’s just… this area here, mostly on my left side, feels a bit tender, you know? Like a dull ache, and sometimes it’s almost like a pulling sensation. It’s not constant, but it comes and goes, particularly after I’ve been moving around a lot.”"
pain or soreness of breast,4,"“It’s just… a weird ache, really. Mostly in my left breast, and it comes and goes. Sometimes it’s just a dullness, but other times it’s more like a soreness, like it’s kind of tight.”"
excessive urination at night,1,"“It’s just…it’s gotten really bad lately. I’m up, like, three, four times a night, just running to the bathroom. It’s disrupting my sleep, and honestly, it’s starting to worry me.”"
excessive urination at night,2,"“It’s just… lately, I’ve been having to go to the bathroom *so* many times at night. Like, I’m up every couple of hours, just needing to pee. It’s really disrupting my sleep, and honestly, it’s starting to worry me.”"
excessive urination at night,3,"“It’s just…really bad at night. Like, I’m up every couple of hours, rushing to the bathroom. It’s exhausting, and honestly, I’m starting to feel really drained during the day because I’m not sleeping properly.”"
excessive urination at night,4,"“It’s just… lately, I’ve been needing to go to the bathroom *so* many times at night. Like, I’m up maybe three or four times, and it’s just getting really disruptive. It’s starting to feel really inconvenient and honestly, a little worrying.”"
bleeding from eye,1,"“It started about three days ago, just a little stinging, and then this morning, there was just… blood. Just a trickle, but it’s there. It’s really worrying me.”"
bleeding from eye,2,"“It’s just… this awful stinging, and then this really bright red discharge. And, honestly, there’s been this constant, watery bleeding from my eye. It’s really annoying and I'm worried it’s getting infected.”"
bleeding from eye,3,"“It’s just… this awful stinging, and there’s this constant wetness, like I’ve been crying, but I haven’t. And today, when I blinked, there was just… a little bit of red in my vision. It’s really worrying me.”"
bleeding from eye,4,"“It’s just… this awful stinging, and there’s this constant, watery discharge. And yesterday, I woke up with a little bit of blood in my eye. Just a streak, really, but it was really unsettling.”"
rectal bleeding,1,"“It’s just… well, I’ve been noticing bright red streaks in my stool. It’s not constant, but I’ve seen it a few times over the last week or so. It’s a little worrying, to be honest.”"
rectal bleeding,2,"“It’s… it’s just a little bit, but it’s been happening a few times over the last couple of weeks. When I wipe, there’s always blood. Just a small amount, but it’s worrying me.”"
rectal bleeding,3,"“It’s…it’s been happening a few times over the last couple of weeks. Mostly after a bowel movement, but sometimes it’s just there, a little bit of red on the toilet paper. It’s worrying me, to be honest.”"
rectal bleeding,4,"“It’s just… this past week or so, I’ve been noticing a little bit of blood when I go to the bathroom. It’s not a lot, just a streak sometimes, and it’s mostly bright red. It’s worrying me, to be honest.”"
constipation,1,"“It’s just… really hard to go. Like, I’m straining and straining, and it just doesn’t want to come out. It’s been going on for about six weeks now, and it’s getting worse.”"
constipation,2,"“It’s just… really difficult to go. Like, I’m straining and straining, and nothing’s coming out. It’s been getting worse over the last few weeks, and it’s just incredibly uncomfortable.”"
constipation,3,"“It’s just… really hard to go. Like, I’m straining terribly and it’s taking ages, and then it’s still pretty firm. It’s been happening for maybe three or four weeks now, and it’s just not normal for me.”"
constipation,4,"“It’s just… really hard to go. Like, I’m straining terribly, and it’s been going on for weeks now. Everything feels so backed up, and I just don’t have the same regular movements I used to.”"
temper problems,1,"“It’s just…really hard for me to manage my moods, you know? Like, small frustrations just spiral out of control, and I tend to temper my reactions, but it’s exhausting trying to keep everything level.”"
temper problems,2,"“It’s just…it’s getting really hard for me to manage my anger. I find myself just losing it, completely, and it’s not just frustration, it’s a full-blown temper problems. I don’t even know what sets it off sometimes, and then I’m yelling and saying things I instantly regret.”"
temper problems,3,"“It’s just… getting really hard to manage my moods, you know? Like, one minute I’m fine, and the next I’m just… intensely frustrated with everything. Little things set me off, and I have a really hard time calming down, just losing it, really.”"
temper problems,4,"“It’s just… lately, things seem to really bother me. Small things, you know? Like a raised voice, or a crowded room, and I just… I explode. It’s not like I’m angry all the time, but I have these intense, overwhelming reactions. I find it really hard to manage them, and I worry I’m being unreasonable.”"
coryza,1,"“It’s just… everything’s so stuffy. My nose is constantly running, and it’s this really thick, yellow discharge. I’ve been sneezing constantly too, and it feels like there’s pressure in my sinuses. It’s gotten worse over the last few days, and it’s making it really hard to concentrate.”"
coryza,2,"“It’s just… this awful stuff coming out of my nose. It’s like a constant drip, and it’s really irritating. It’s making it hard to breathe through my nose, and everything feels so congested.”"
coryza,3,"“It’s just…this constant dripping, you know? Like a little waterfall in my nose. And my eyes are so watery, it’s driving me crazy. It started about five days ago, and it’s just not letting up at all.”"
coryza,4,"“It’s just… this constant stuffiness. My nose is always running, and it’s so much worse in the mornings. It feels like there's pressure behind it, too, and I’ve been coughing a little bit. It's really annoying, just this watery discharge.”"
wrist weakness,1,"“It’s just… my right wrist feels really weak, like I can barely grip anything. It’s been getting worse over the last few weeks, especially after I’ve been doing a little bit of gardening.”"
wrist weakness,2,"“It’s just… lately, my wrist feels really, really weak. Like I can barely grip anything, you know? Just trying to open a jar or hold a cup feels like a huge effort.”"
wrist weakness,3,"“It’s just… lately, my hand feels really strange. Like, when I try to grip things, or even just hold a cup, there’s this sort of… giving way. It’s like the muscles just aren’t cooperating, you know? It’s particularly noticeable on my right hand.”"
wrist weakness,4,"“It’s just… my hand, you know? Like, I can’t really grip things properly. It feels… floppy, almost. Especially when I’m trying to button my shirt or hold a mug. It’s getting worse, honestly.”"
eye strain,1,"“It’s just… my eyes feel really tired all the time. Like, constantly. When I’m reading or on my computer, it gets so much worse. It’s like they’re burning, and I have to blink constantly to try and make it better.”"
eye strain,2,"“It’s just… my eyes feel really tired all the time. Like, constantly. Especially after I’ve been staring at a computer screen for a while, it gets so much worse. I just get this awful tension behind them, and they feel gritty, like there’s something stuck in them.”"
eye strain,3,"“It’s just… my eyes feel really tired all the time. Like, even when I’m just reading or on the computer, they’re just constantly strained. It’s getting worse, and it’s making it hard to focus.”"
eye strain,4,"“It’s just… my eyes, you know? They feel really tired, like I’ve been staring at something for hours, even when I haven’t. And there’s this constant gritty feeling, like I need to blink a *lot* just to make things clear.”"
hemoptysis,1,"“It’s just… this cough. It started about a week ago, and it’s getting worse. I’m coughing up a little bit of blood, like bright red streaks in the phlegm. It’s really worrying me, to be honest.”"
hemoptysis,2,"“It’s just… this little cough. It started about a week ago, and sometimes when I cough really hard, I bring up a bit of blood. Just a little, rusty-colored stuff. It’s worrying me, to be honest.”"
hemoptysis,3,"“It’s just… this cough, you know? It’s gotten worse, and there’s this little bit of blood in my phlegm. It’s not a lot, but it’s there, and it worries me.”"
hemoptysis,4,"“It’s just… this cough. It’s gotten worse, really. And I’ve been bringing up a bit of blood, you know? Just little streaks, but it’s happening almost every time I cough, especially in the mornings.”"
lymphedema,1,"“It’s just… my left leg feels so heavy, all the time. It gets really puffy, especially in the evenings, and it’s hard to get rid of, even after I try to move it around. It’s like there’s fluid just sitting there, and it’s getting more noticeable every day.”"
lymphedema,2,"“It’s just… this swelling in my left leg, you know? It started really slowly, just a little puffiness after I’d been sitting for a long time. Now it’s pretty constant, and it gets worse when I stand or walk for more than a few minutes. It feels tight and heavy, and it’s hard to get rid of, even when I elevate it.”"
lymphedema,3,"“It’s just… this swelling in my left leg, it’s getting worse. It feels like it’s constantly heavy and tight, and it’s hard to get rid of, even after I elevate it. It’s mostly around my ankle and calf, and it’s starting to affect my mobility, you know? It’s just… persistent.”"
lymphedema,4,"“It’s just…this swelling in my left leg. It started really gradually, like over a few months, but now it’s gotten so much worse. It’s always the same side, and it gets particularly bad after I’ve been sitting or standing for a long time. It feels tight and heavy, and sometimes it’s almost painful.”"
skin on leg or foot looks infected,1,"“It’s just this one leg, really. It started looking a bit red and puffy a few days ago, and now the skin looks infected – all crusty and swollen. It’s getting worse.”"
skin on leg or foot looks infected,2,"“It’s just this one leg, really. It’s gotten all red and puffy, and the skin on it looks infected – like little bumps and crusts. It started a couple of weeks ago, just a little irritation, but it’s getting worse.”"
skin on leg or foot looks infected,3,"“It’s just this one leg, really. It’s gotten all red and puffy, and the skin looks infected – like there’s a bit of pus forming under it. It started a couple of weeks ago after I cut myself gardening, but it hasn’t gotten any better.”"
skin on leg or foot looks infected,4,"“It’s just… this area here on my left foot, it’s gotten really red and swollen, and the skin looks infected, like it’s starting to crust over. It’s been getting worse over the last few days.”"
allergic reaction,1,"“It started about an hour after I ate the shrimp. My face just started getting red, and then my lips started swelling up. It’s itchy too, really itchy. I felt really out of breath for a little while, and my throat felt tight.”"
allergic reaction,2,"“It started about an hour after I ate the shrimp. My face just started swelling up, really itchy, and my lips were tingling. It’s gone down a bit now, but I’m still feeling really uneasy and a little breathless.”"
allergic reaction,3,"“It started about an hour after I ate the shrimp. My face just started swelling up, and my throat felt really tight. I was having trouble breathing, and I felt dizzy. It’s gone now, but it was really scary.”"
allergic reaction,4,"“It started a few days after I started eating those new mangoes from the farmer’s market. My face gets really itchy, puffy, and I’m breaking out in hives. It’s been getting worse, and I’m getting these really bad headaches too.”"
congestion in chest,1,"“It’s just… this awful tightness in my chest. Like a weight, you know? It comes and goes, mostly when I’m trying to take a deep breath, and it feels like nothing’s moving properly.”"
congestion in chest,2,"“It’s just… this awful tightness in my chest, like something’s sitting on it. It comes and goes, mostly when I’m walking, and it’s getting worse, honestly.”"
congestion in chest,3,"“It’s just… a tightness, mostly in my chest, like something’s sitting there. It gets worse when I breathe deeply, and I’ve been coughing a little bit too, mostly at night.”"
congestion in chest,4,"“It’s just… this awful tightness in my chest. Like, a constant pressure, especially when I take a breath. It’s not painful, exactly, but it feels really heavy and makes it hard to get comfortable.”"
muscle swelling,1,"“It’s just… my legs, really. They’ve been getting puffy, especially in the evenings. And there’s this swelling, kind of a dull ache, mostly in my calves. It’s not constant, but it’s noticeable, particularly after I’ve been on my feet.”"
muscle swelling,2,"“It’s just… my legs, really. They’ve been getting bigger, almost puffy. It’s mostly my calves, and it feels kind of tight, like they’re swelling up when I stand for too long.”"
muscle swelling,3,"“It’s just… my legs feel so heavy, and they’ve been getting bigger, you know? Like, puffy. I’ve noticed it’s particularly bad after I’ve been sitting down for a while, and it’s spreading a little bit. It’s uncomfortable, honestly.”"
muscle swelling,4,"“It’s just… my legs feel so heavy, and they’ve gotten noticeably bigger, especially in the shins. It’s not painful, just… puffy and swollen. It’s gotten worse over the last couple of weeks, really.”"
pus in urine,1,"“It’s just… this weird discharge coming out with my pee. It’s yellowish, and it looks like it has little bits in it. It started a few days ago, and it’s getting worse.”"
pus in urine,2,"“It’s just… this awful, cloudy stuff when I go. Like, sometimes there’s even a little bit of white in it. It’s really starting to worry me.”"
pus in urine,3,"“It’s just… this weird discharge. It’s been coming out with my urine, and it’s yellowish and kind of thick. Like, it’s definitely not normal, you know?”"
pus in urine,4,"“It’s just… this weird discharge coming out when I pee. It’s kind of cloudy and yellowish, and it smells a little funny. It’s been happening for about a week, and it’s getting worse.”"
abnormal size or shape of ear,1,"“It’s just…one of my ears looks really different. It’s just…abnormal size or shape, you know? Like, bigger than the other one and kind of…pointed? It’s really strange, and it’s been getting worse over the last few weeks.”"
abnormal size or shape of ear,2,"“It’s just…one of my ears looks different. Like, noticeably bigger, almost bulbous. It’s a really weird shape, and it started happening a few weeks ago. It’s kind of unsettling, to be honest.”"
abnormal size or shape of ear,3,"“It’s just…one of my ears looks different. It’s a weird size, almost like it’s stretched out, and the shape isn’t quite right. It just feels…off.”"
abnormal size or shape of ear,4,"“It’s just…one of my ears looks kind of wonky, you know? It’s bigger than the other one, and almost…rounded differently. Like it’s not quite symmetrical.”"
low back weakness,1,"“It’s just… this constant ache in my lower back, you know? And sometimes, when I try to lift anything – even just reaching for a glass – I just feel this sudden weakness, like it’s not there.”"
low back weakness,2,"“It’s just… my lower back. It feels like there’s a constant weakness there, like I can’t really engage the muscles properly. It’s particularly bad when I’m standing for a long time, or even just twisting to pick something up.”"
low back weakness,3,"“It’s just… really hard to lift things. Like, I can do everyday stuff, but if I try to pick up the laundry basket or anything heavier than a couple of pillows, I just kind of… give out. It’s like there’s a weakness down there.”"
low back weakness,4,"“It’s just… when I try to lift anything heavier than a grocery bag, my lower back just buckles. Like, it feels weak, and I worry I’m going to pull something. It’s been getting worse lately, really.”"
sleepiness,1,"“Honestly, the worst of it is just this overwhelming sleepiness. It comes and goes, but when it hits, it’s like I can’t keep my eyes open, even when I’ve had a decent amount of sleep. It’s really impacting my work and just my daily life, you know?”"
sleepiness,2,"“Honestly, it’s just… getting so hard to keep my eyes open. I’m constantly yawning, and I feel like I could fall asleep anywhere – waiting in line at the grocery store, watching TV… it’s ridiculous, really. It’s not like I’m not getting enough sleep, I’m actually going to bed pretty early, but I just can’t seem to switch off.”"
sleepiness,3,"“It’s just… everything feels so heavy, you know? Like I’m wading through mud. And I’m constantly nodding off, especially in the afternoons. I just can’t seem to keep my eyes open.”"
sleepiness,4,"“It’s just… everything feels so heavy, you know? Like I’m wading through molasses. I’m constantly fighting to stay awake, especially in the afternoons. I’ll be sitting down, reading, and just… drift off. It’s not like I’m falling asleep, just a really deep, overwhelming drowsiness. It’s been going on for weeks now.”"
apnea,1,"“It’s really strange, Doctor. I’ve been stopping breathing, like…completely still, for a few seconds at a time, usually when I’m asleep. My wife has noticed it, and she’s worried. It happens a couple of times a night, maybe more sometimes, and it’s just… unsettling.”"
apnea,2,"“It’s really getting worse, honestly. I’m just…stopping breathing. Not like a gasp, but just completely gone. It usually happens when I’m lying down, and it’s terrifying. I wake up sweating and completely disoriented. It’s been happening a few times a week now, and it’s exhausting.”"
apnea,3,"“It’s getting really noticeable, especially when I’m lying down. I just… stop breathing for little bits, and then I start again. It’s like a gasp, and it happens a few times during the night. It’s not always the same, sometimes it’s just a couple of times, sometimes it’s more. It’s really tiring.”"
apnea,4,"“It’s just… really exhausting. Like, I fall asleep so easily, especially when I’m sitting or lying down, and then I just stop breathing. I wake up completely disoriented, like I’ve been underwater. It’s happening quite a few times a night, and I’m starting to worry about it.”"
abnormal breathing sounds,1,"“It’s just… really strange. When I breathe, it almost sounds like my chest is rattling, you know? Like marbles or something. It started a few weeks ago and it’s getting worse, especially when I lie down.”"
abnormal breathing sounds,2,"“It’s just… really strange. When I’m lying down, especially if I’ve been coughing a bit, I can hear myself breathing. It’s like a wheezing, almost a rattling, sort of sound. It’s not constant, but it comes and goes, and it worries me a little.”"
abnormal breathing sounds,3,"“It’s just… it’s like a wheezing, you know? When I breathe in, it sounds kind of raspy and like there’s something stuck in my chest. It gets worse when I get anxious, but it’s happening even when I’m just relaxing.”"
abnormal breathing sounds,4,"“It’s just…it feels like my chest is making these weird noises when I breathe. Like a whooshing or a rattling, especially when I lie down. It’s kind of unsettling, to be honest.”"
excessive growth,1,"“It’s just… it’s gotten so much bigger, you know? It started really small, barely noticeable, but it’s just kept growing, and growing, and it’s really uncomfortable.”"
excessive growth,2,"“It’s just… it’s like everything’s getting bigger. My hands, my feet, even my nails seem to be growing out at an alarming rate. It’s really unsettling.”"
excessive growth,3,"“It’s just… everything seems to be getting bigger. My hands, my feet, even my jeans feel tight. It’s really unsettling.”"
excessive growth,4,"“It’s just… it’s like things are multiplying. Everywhere I look, there’s just… excess. Like, an awful lot of it. It’s really unsettling.”"
elbow cramps or spasms,1,"“It’s just… my elbows. They just seize up, you know? Like a sudden, really tight cramp. It comes and goes, usually after I’ve been doing a lot of gardening, but sometimes it’s just… random. It’s really uncomfortable, and it feels like they’re locking up.”"
elbow cramps or spasms,2,"“It’s just… my arms. They’re acting up. Especially at night, when I’m trying to relax. I get these really sudden, tight cramps in my elbows, like a muscle just locks up. It’s not painful, exactly, but it’s incredibly uncomfortable and makes it hard to fall asleep.”"
elbow cramps or spasms,3,"“It’s just… my arms, you know? They get so tight sometimes, like a sudden, sharp pain that shoots right up from my elbows. It’s really uncomfortable, and it seems to come and go without any obvious reason.”"
elbow cramps or spasms,4,"“It’s just… my arms, you know? Especially in the evenings, when I’ve been doing a lot of housework. There’s this really sudden, tight feeling in my elbows, like they’re locking up. It’s not painful exactly, but it’s incredibly uncomfortable, and it just disappears as quickly as it comes.”"
feeling hot and cold,1,"“It’s just…weird. Like, one minute I’ll be shivering, absolutely freezing, and then within like, five minutes, I’ll be drenched in sweat and feeling hot and cold at the same time. It’s completely random, and it’s really unsettling.”"
feeling hot and cold,2,"“It’s just… really strange. Like, one minute I’ll be shivering, and I’ll be drenched in sweat without any reason at all. It comes on so suddenly, and then it just… shifts. It’s not just hot or cold, it’s like my body is completely flipping between the two, and it’s incredibly unsettling.”"
feeling hot and cold,3,"“It’s just…it’s like my body is playing tricks on me. One minute I’ll be drenched in sweat, completely overheated, and the next I’m shivering, like it’s freezing. It comes and goes, and I can’t seem to find a comfortable temperature at all.”"
feeling hot and cold,4,"“It’s just…weird. Like, one minute I’ll be drenched in sweat, and the next I’m shivering, even though the room isn't that cold. It’s a really sudden shift, and it happens without any obvious reason. It’s unsettling, honestly.”"
blood clots during menstrual periods,1,"“It’s just… it’s really bad. Like, every month, it’s getting heavier, and then I start getting these really intense cramps. But the worst part is the clots. Huge, huge clots. It’s honestly terrifying, and I’m worried about how much blood I’m actually losing.”"
blood clots during menstrual periods,2,"“It’s just… it’s gotten so much worse lately. The bleeding is just overwhelming, and then… well, I’m passing actual blood clots. Big ones. It’s really frightening, and I’m worried it’s something serious.”"
blood clots during menstrual periods,3,"“It’s just…it’s getting really heavy, and then, like, after a particularly bad flow, I’ll find blood in my stool. It’s completely out of the blue, and honestly, it’s really worrying me.”"
blood clots during menstrual periods,4,"“It’s just… it’s really bad. Like, every month, it’s getting heavier, and then I start passing these… clumps. Just huge, dark clots. It’s terrifying, honestly. It’s not just the bleeding, it’s the size of them. And it feels like it’s coming from *way* inside.”"
absence of menstruation,1,"“It’s just…it’s completely stopped. I haven’t had a period in, like, seven months now. It’s really worrying me.”"
absence of menstruation,2,"“It’s just… it hasn’t happened in, like, eight months now. I know it’s not normal, and I’ve been really worried about it.”"
absence of menstruation,3,"“It’s just… it hasn’t happened in, like, eight months. Nothing at all. It’s really worrying me, to be honest.”"
absence of menstruation,4,"“It’s just… it’s completely stopped. Nothing at all. I haven’t had a period in, like, eight months now, and it’s really worrying me.”"
pulling at ears,1,"“It’s just… a constant feeling like something’s trying to get out. Like I need to rub my ears, just… pull at them. It started a couple of weeks ago, and it’s getting worse, especially when I’m stressed.”"
pulling at ears,2,"“It’s just… a constant feeling like something’s stuck in my ear, you know? Like I need to rub it or scratch it. And I’ve been pulling at my ears a lot lately, trying to get whatever it is out. It’s really annoying and it’s making me feel a bit anxious, to be honest.”"
pulling at ears,3,"“It’s just… a constant feeling like something’s trying to get out. Like I need to rub it, you know? I’ve been rubbing my ears a lot lately, just… trying to make it stop.”"
pulling at ears,4,"“It’s just… this feeling in my ear. Like something’s trying to get out, you know? I keep kind of tugging at it, just to see if it’s stuck or something. It comes and goes, mostly when I’m stressed, I think.”"
gum pain,1,"“It’s just… my gums. They’ve been really sore lately, especially when I eat anything with a bit of heat. It feels kind of sensitive, like they’re throbbing.”"
gum pain,2,"“It’s just… my gums, you know? When I brush, it’s like a sharp, stinging pain. Like someone’s poking at them.”"
gum pain,3,"“It’s just… this area here, around my lower left molar, it’s incredibly sensitive. Like, even when I brush my teeth, it stings. And if I eat something cold, it’s a sharp, throbbing ache.”"
gum pain,4,"“It’s just… this area here, around my bottom teeth, it’s really sensitive. Like, if I eat anything cold or even just brush my teeth, it’s a sharp, stinging pain. It’s persistent, you know? It hasn’t gone away.”"
redness in ear,1,"“It’s just… this awful ringing, you know? And there’s this really intense redness in my ear, like it’s burning. It started a few days ago, just a little pop, and then this redness got worse, especially when I move my head.”"
redness in ear,2,"“It’s just… this awful ringing, you know? And there’s this really intense redness in my left ear, like it’s constantly burning. It started a few days ago, just a little popping, but it’s gotten so much worse.”"
redness in ear,3,"“It’s just… this awful pressure in my ear, and there’s this intense heat, like a constant burning sensation. It’s particularly bad when I lie down, and I’ve noticed a real flush around the whole area – it’s quite uncomfortable, honestly.”"
redness in ear,4,"“It’s just… there’s this constant buzzing, like something’s moving around in my ear, and it’s gotten really inflamed. I’ve got this awful redness in my ear, and it’s painful to touch.”"
fluid retention,1,"“It’s just… my ankles have been so swollen lately. They’re really puffy, especially in the evenings, and it feels like there’s just this constant pressure. It’s getting a bit concerning, to be honest.”"
fluid retention,2,"“It’s just… my ankles have been so swollen lately. It’s like they’re constantly puffed up, especially in the evenings. And my rings don’t fit anymore, which is really strange.”"
fluid retention,3,"“It’s just… my ankles and feet, they’re so puffy, especially in the evenings. It feels like they’re constantly swollen, and it’s getting harder to fit shoes. It’s really uncomfortable, and I notice it’s worse after I’ve been sitting for a long time.”"
fluid retention,4,"“It’s just… my ankles, you know? They’re constantly puffy, especially in the evenings. And my rings feel tight, like they’re doing extra work just to fit. It’s not a huge swelling, but it’s persistent and it’s getting a little worrying.”"
flu-like syndrome,1,"“It’s just… everything feels so heavy, you know? Like a really bad cold, but without the cough. I’m just achy all over, constantly tired, and I’ve got this weird pressure in my sinuses. It’s making it hard to concentrate, and I just feel generally awful.”"
flu-like syndrome,2,"“It’s just… everything feels so heavy, you know? Like a constant ache all over, especially in my muscles. And I’ve got this really bad headache, and I’m just completely wiped out. It’s like a really nasty flu, but without the fever. I just can’t seem to shake this feeling of being utterly exhausted.”"
flu-like syndrome,3,"“It’s just… everything feels so heavy, and I’ve got this awful dragging feeling all over. My muscles are just completely shot, and I’ve got a really bad headache, along with a fever and just feeling utterly wiped out. It’s like my body is fighting something, but I don’t know what.”"
flu-like syndrome,4,"“It’s just… everything’s been awful lately. I’ve had this really dragging feeling, like I could sleep for days. My muscles ache all over, especially in my back and legs. I’m constantly shivering, and I just feel generally miserable, you know? Like I’m coming down with something really bad.”"
sinus congestion,1,"“It’s just… my head feels so full. Like there’s this pressure behind my eyes and my nose is constantly running and stuffed up. It’s really annoying, especially when I try to sleep.”"
sinus congestion,2,"“It’s just… my head feels so full. Like there’s pressure all the way up my nose and cheeks. It’s really uncomfortable, especially when I lie down, and I’ve been blowing my nose constantly.”"
sinus congestion,3,"“It’s just…this pressure in my face, mostly around my nose and eyes. It feels like something’s building up behind there, and it’s really hard to breathe through my nose sometimes. It’s been getting worse over the last few days.”"
sinus congestion,4,"“It’s just… this pressure in my face is driving me crazy. My nose feels completely blocked, like a brick wall. Everything’s just stuffy and I can’t really breathe properly, especially when it’s cold.”"
painful sinuses,1,"“It’s just… this awful pressure in my face, mostly around my nose and forehead. It’s really painful, especially when I lie down, and it feels like it’s building up behind my eyes. It’s been going on for about a week now, and it’s getting worse.”"
painful sinuses,2,"“It’s just… this constant pressure in my face, especially around my forehead and cheeks. It’s really throbbing, and when I breathe through my nose, it just gets worse. It’s making it hard to concentrate, and honestly, pretty miserable.”"
painful sinuses,3,"“It’s just… this pressure in my face, mostly around my forehead and behind my eyes. It’s really intense when it’s worse, and it feels like it’s building up. Sometimes it throbs, and it’s hard to think clearly when it’s going on.”"
painful sinuses,4,"“It’s just… this pressure in my face, mostly around my forehead and cheeks. It’s really constant, like a fullness, and sometimes when I tilt my head certain ways, it gets much worse. It’s incredibly uncomfortable, and I’ve been blowing my nose constantly, but it doesn’t really help.”"
fears and phobias,1,"“It’s just… overwhelming, really. Lately, I’ve been experiencing these intense, almost paralyzing anxieties. It’s not just worry, it’s like… my mind just jumps to the worst-case scenario. Little things, like driving on the highway or even just being in a crowded room, trigger these panic attacks. And it’s not just the panic, it’s the thoughts afterward – the persistent, irrational fears. I’m constantly anticipating disaster, and it’s exhausting.”"
fears and phobias,2,"“It’s just… overwhelming, really. Lately, I’ve been having these intense, irrational fears. It’s not just one thing, it shifts. Sometimes it’s enclosed spaces, other times it’s sudden noises, or even just crowds. They come on so suddenly, and I just freeze up, completely panicked. It’s like my mind just… shuts down.”"
fears and phobias,3,"“It’s just…everything feels so overwhelming lately. I have these intense, irrational reactions to things – little things, really. Like, I can’t go near bridges, or crowded places, or even just…dark rooms. It’s like a panic is building up, and I just need to get away. It’s hard to explain, but it’s consuming me.”"
fears and phobias,4,"“It’s…it’s gotten really bad lately. I just feel this overwhelming sense of dread, particularly when I’m in enclosed spaces or around crowds. It’s like a panic’s building, and I have to get out, just…get away. Simple things, like grocery stores or even just walking down the street, trigger these intense anxieties. And then I start thinking about worst-case scenarios, things that probably will never happen, but I just can’t shake them.”"
recent pregnancy,1,"“It’s just… everything feels so much more sensitive lately. Like, really sensitive. And I’ve been having these weird, sharp pains in my lower abdomen, especially when I move around a lot. It’s been going on for about a week now, and honestly, it’s starting to worry me.”"
recent pregnancy,2,"“It’s just… everything feels so much more sensitive lately. Like, even a light touch is really noticeable, and I’ve been getting these really sharp pains in my lower abdomen, especially when I move around. It started a few weeks after I had the baby, and it’s just not going away.”"
recent pregnancy,3,"“It’s just… everything feels so much more sensitive lately. Like, really sensitive. And the pressure in my stomach hasn’t really gone away, even though the baby’s movements have definitely picked up. It’s just… intense.”"
recent pregnancy,4,"“It’s just… everything feels so much more sensitive lately. Like, really sensitive. And I’ve been getting these sharp pains in my lower back, especially when I’m moving around. It’s pretty intense, and honestly, I just don’t feel like myself.”"
uterine contractions,1,"“It’s just… really uncomfortable. Like, a constant tightening down there. It comes and goes, but when it’s happening, it feels like I’m about to go into labor, you know? It’s getting stronger, and it’s making it hard to relax.”"
uterine contractions,2,"“It’s just…really weird. My tummy feels like it’s constantly tightening up, like I’m about to go into labor, but it’s not regular at all. Sometimes it’s really strong, and then it just fades away. It’s happening, like, every ten to fifteen minutes, and it’s making me feel really uncomfortable and anxious.”"
